LAT	LON	SPEED	COURSE	HEADING	ELAPSED	SHIPNAME	SHIPTYPE	SHIP_ID
31.36603	-135.6937	199	107	107	5	[SAT-AIS]	7	TVRnd01UZzVNVGd3TVRnNU1UZ3dNUT09LWN4QTJQWXBHWTZyM3Z3ZHZoTXgyVnc9PQ==
44.04053	-7.81062	117	102	99	1	HENRIK S	7	297279
40.94683	-13.6095	179	202	202	7	[SAT-AIS]	7	TVRRME56ZzNNVFEwTnpnM01UUTBOdz09LTQ0Q0Y2d2NTdEUxYU92MUZzcHQvUUE9PQ==
-5.387143	-19.4777	10	190	190	5	[SAT-AIS]	8	TkRJd09USXlOREl3T1RJeU5ESXdPUT09LVU2V3JJaGo1ZmJDdG9vSUNmVDU3aEE9PQ==
61.62808	4.164175	130	18	18	1	BULK PENINSULA	7	5865745
41.31217	2.15249	0	305	217	1	MSC ADELAIDE	7	410113
9.461507	-79.9312	0	305	35	1	GOLDEN INCUS	7	4250317
48.485	-130.6467	120	91	91	4	[SAT-AIS]	7	TVRnMk1UYzVNVGcyTVRjNU1UZzJNUT09LWdSZ28xSmtocXo5SmZkYklQMUNoNmc9PQ==
31.20709	-138.3802	120	105	105	3	[SAT-AIS]	7	TlRFM01EQTROVEUzTURBNE5URTNNQT09LUdKbmlrdWxpTUpDQUNIOU0yUlFKbWc9PQ==
12.57302	-81.70159	1	241	308	3	TANGO H	7	417739
36.00069	-26.6784	90	267	269	653	STELLA LAURA	7	3409801
35.995	-28.77	90	275	275	4	[SAT-AIS]	7	TXpVMk5EVTVNelUyTkRVNU16VTJOQT09LWpzQXFxblhBNWlCZG9LdTZEdTJLZGc9PQ==
38.39617	-76.375	26	328	324	2	BW PARIS	8	371512
32.83621	-79.8907	0	312	21	1	MOL COURAGE	7	372202
47.73165	-146.0106	97	105	105	4	[SAT-AIS]	7	TnpVeE9UTXpOelV4T1RNek56VXhPUT09LXRscElLSzIyQnRBN2RybW9xelVtMVE9PQ==
37.54071	-123.3099	82	99	101	1	DARYA GANGA	7	689054
13.80073	-18.25678	118	340	345	1	AQUATIC	7	421171
6.488266	-79.67945	100	14	14	4	[SAT-AIS]	8	TVRZMk9UTXpNVFkyT1RNek1UWTJPUT09LUFmRXF5RCtRcGprdDJVMURiZ09renc9PQ==
-10.24442	10.2215	111	62	62	4	[SAT-AIS]	7	T1RBeE9UYzRPVEF4T1RjNE9UQXhPUT09LU13TjdZdzhKcys5VlU2RmZiTHJrUFE9PQ==
36.53671	-25.38053	118	97	95	2	SOUTH TRADER	7	5827933
12.94807	-19.7018	115	358	0	1	SEA JEWEL	8	411838
20.41664	-74.03603	131	175	175	7	[SAT-AIS]	7	TVRFME5qSTRNVEUwTmpJNE1URTBOZz09LXpaaUtOcDYvMnFjSkppTC9Xa3FxRFE9PQ==
-4.389733	-17.89193	126	276	276	3	[SAT-AIS]	7	T1RJeE1ESXpPVEl4TURJek9USXhNQT09LURtT2RXanc4Tm9yaDcvRGsxVGpCcHc9PQ==
32.73901	-16.72403	1	36	182	4	ELISALEX SCHULTE	8	725648
11.52935	-175.3393	37	89	89	4	[SAT-AIS]	2	TnpZd01qSXhOell3TWpJeE56WXdNZz09LWZYanNPZjBqVUFlSlMyd3FOYWxvbUE9PQ==
17.75483	-62.16542	132	244	248	1	ETERNAL HAKATA	7	415312
43.4452	-3.822133	0	276	276	1	POPLAR ARROW	7	375485
20.99908	-156.9138	80	100	94	2	KAPENA GEORGE PANUI	3	5845173
59.34723	10.52049	0	52	226	1	NAVION OCEANIA	8	372801
29.91809	-116.3967	144	165	164	1	BBC AQUAMARINE	7	365858
-6.691603	-32.50908	108	126	126	4	[SAT-AIS]	7	TkRnME5ETTVORGcwTkRNNU5EZzBOQT09LXg4Mi9UcVBJV2QrT0dTL0w2U0RzMWc9PQ==
10.23367	-82.70866	205	60	59	345	MSC ZLATA R	7	756299
11.15133	-81.03917	194	60	60	5	[SAT-AIS]	7	TkRrNE56a3lORGs0TnpreU5EazROdz09LWs1YlRQRUNTdUVYWndDNGdKNFBlMmc9PQ==
14.25848	-123.5044	119	277	277	5	[SAT-AIS]	8	TVRBeE1qa3lNVEF4TWpreU1UQXhNZz09LU0wU2lFQmZTYkNsMzlFcnp5eFRGenc9PQ==
6.121815	3.594465	111	133	137	3	SL AREMU	8	727819
27.23071	-112.1471	99	149	151	1	SHEILA ANN	7	369097
42.15282	-124.8562	56	173	172	2	RACHEL	3	447352
-1.802083	-93.87268	8	268	268	4	[SAT-AIS]	2	TVRrMU5UVXlNVGsxTlRVeU1UazFOUT09LURObDRvZVBuZGUwRU03T2p1OWRxRFE9PQ==
48.22129	-123.8003	89	87	87	1	PAN CLOVER	7	713843
12.54156	-18.91119	137	351	352	1	SPETSES LADY	8	5971263
14.35507	-17.4293	74	29	29	2	CE BERMUDA	8	372818
43.42491	-124.2562	0	78	258	1	GLORIOUS MAPLE	7	730690
42.19182	7.866183	186	44	44	2	LIBERTY PASSION	7	4773356
15.90353	-80.7632	99	179	179	7	[SAT-AIS]	7	T1RNeU9URTNPVE15T1RFM09UTXlPUT09LUNlMkxzNU9Nb0tKMEdtYnhucnJUUEE9PQ==
31.96667	-29.28	80	275	275	5	[SAT-AIS]	8	TVRreU5qSXlNVGt5TmpJeU1Ua3lOZz09LVFlSFJPcWNRRzN6cnMzV0NucUw3dXc9PQ==
11.43292	-75.83958	130	205	205	5	[SAT-AIS]	8	T0RRME1EUXhPRFEwTURReE9EUTBNQT09LU9NSlQrREgvMnA2UW1Mb0xWNENxRXc9PQ==
17.31619	-77.1139	114	290	290	1	DHT LEOPARD	8	3769399
39.00583	0.6630667	55	352	15	2	SEAMAX BRIDGEPORT	7	687015
40.1948	-73.79446	90	300	300	2	EVER FOCUS	7	6234205
65.36865	-13.42953	134	352	351	2	SAMSKIP CRYSTAL	7	368312
13.36727	-60.74279	100	118	120	1	EAGLE KINARUT	8	729275
17.34488	-16.36393	47	206	206	1	KAPITAN MORGUN	2	349806
-4.554422	-99.04481	132	113	113	4	[SAT-AIS]	8	TXpRd01EVXpNelF3TURVek16UXdNQT09LXFTSU5Oc05veHhiZHNHbG1tcm11OXc9PQ==
49.3273	-64.67229	119	92	93	1	FEDERAL SPRUCE	7	713579
47.09422	-52.75318	164	195	194	1	OCEANEX SANDERLING	7	383697
14.60043	-124.0492	134	274	274	5	[SAT-AIS]	7	TWprNU5USXpNams1TlRJek1qazVOUT09LWhmVHFKWHgxTzNBaFhEN003Y0N2Nmc9PQ==
39.75817	-125.359	122	157	158	5	STAR ANTARES	7	3592273
52.64568	-9.056405	0	339	265	1	GENCO WEATHERLY	7	756342
57.39384	-5.639192	0	176	41	1	VOYAGEUR SPIRIT	3	368972
14.24833	-82.25667	100	183	183	4	[SAT-AIS]	8	TlRVek5ESTBOVFV6TkRJME5UVXpOQT09LXBUcEpQTDNnK21uYVZRajVVNmY4K2c9PQ==
10.05709	-30.73249	123	229	229	4	[SAT-AIS]	2	TWpZek16RTJNall6TXpFMk1qWXpNdz09LUpITXdIR2FMYVR2bGVkeWRpY0Y1UUE9PQ==
25.22897	-138.4697	122	291	291	5	[SAT-AIS]	7	TnpjNU56STBOemM1TnpJME56YzVOdz09LUF0RlNKcW1sRHc3ZDhkMmhCTkppSUE9PQ==
44.22667	-76.47313	91	175	176	2	WOLFE ISLANDER III	6	381661
19.78433	-18.39903	130	0	3	7	MH HAMBURG	7	686430
19.79298	-18.39893	129	0	0	5	[SAT-AIS]	7	TlRJek16a3pOVEl6TXprek5USXpNdz09LXJaanNuN0RhK3VHelFyWmt5MitmMGc9PQ==
