icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
"a808c4","PDT6045 ","United States",1614114964,1614114964,-80.5279,35.7009,3505.2,false,149.79,201.98,-8.13,null,3505.2,"0516",false,0
"a21b74","MLN235  ","United States",1614114941,1614114941,-80.3686,37.3538,10058.4,false,252.87,21.61,0.33,null,10180.32,"3323",false,0
"a89ea5","N6545H  ","United States",1614114961,1614114961,-97.4062,35.8393,640.08,false,42.63,81.67,2.28,null,556.26,"1200",false,0
"acf9c8","N935RW  ","United States",1614114964,1614114964,-96.7264,40.7343,1600.2,false,61.56,221.95,-3.9,null,1463.04,null,false,0
"a5cb05","N4721B  ","United States",1614114965,1614114965,-88.4099,42.7454,975.36,false,41.31,95,-3.25,null,899.16,null,false,0
"ab959e","N8456H  ","United States",1614114956,1614114956,-87.3051,35.6074,2438.4,false,77.59,317.96,0,null,2446.02,null,false,0
"a21b5e","N235D   ","United States",1614114964,1614114964,-104.7992,40.6443,2354.58,false,102.75,48.25,0.33,null,2293.62,null,false,0
"aa9321","UAL2772 ","United States",1614114964,1614114964,-89.5818,42.4945,5958.84,false,246.11,99.38,-8.78,null,5882.64,"1435",false,0
"a27953","CNS976  ","United States",1614114964,1614114964,-88.863,34.8696,12489.18,false,266.2,53.88,0,null,12839.7,"2567",false,0
"c1e997","GRDR156 ","Canada",1614114944,1614114944,-113.9953,51.112,null,true,6.94,180,null,null,null,null,false,0
"abd9d9","SWA2510 ","United States",1614114964,1614114964,-87.576,41.8488,922.02,false,98.94,266.72,0,null,853.44,"7112",false,0
"aceb61","SWA4149 ","United States",1614114964,1614114964,-84.9379,36.9857,10165.08,false,186.28,237.98,-12.35,null,10363.2,"3002",false,0
"a38609","EJA326  ","United States",1614114964,1614114964,-83.2608,27.276,12192,false,184.86,285.66,0,null,12771.12,"6047",false,0
"aac59d","N79302  ","United States",1614114884,1614114884,-93.4699,41.5683,487.68,false,51.18,239.83,-2.6,null,396.24,null,false,0
"a9caa9","WCC73   ","United States",1614114927,1614114927,-109.7554,38.067,7315.2,false,128.27,240.97,0,null,7406.64,null,false,0
"a6fe22","N55LX   ","United States",1614114963,1614114963,-95.9828,35.8383,1615.44,false,138.77,341.63,-4.88,null,1584.96,"2570",false,0
"c1e98a","SW99    ","Canada",1614114961,1614114961,-114.0088,51.1004,null,true,1.8,255.94,null,null,null,null,false,0
"e49402","PPBBF   ","Brazil",1614114964,1614114964,-50.3344,-22.5381,6545.58,false,130.04,292.81,-8.13,null,6896.1,"0604",false,0
"ab8286","N8402Q  ","United States",1614114962,1614114963,-97.4504,30.3817,1120.14,false,69.88,83.66,3.9,null,1143,null,false,0
"a34e7d","N312CM  ","United States",1614114867,1614114867,-95.9789,36.0637,312.42,false,40.36,191.02,0.33,null,281.94,null,false,0
"a305fd","SKW3898 ","United States",1614114956,1614114961,-118.5239,38.059,8839.2,false,230.49,53.9,0,null,8991.6,"3251",false,0
"aa56d8","UAL370  ","United States",1614114964,1614114964,-86.2838,38.3189,11277.6,false,251.05,152.28,0,null,11414.76,"1356",false,0
"aaa6d8","N786AH  ","United States",1614114964,1614114964,-72.2243,40.7861,7307.58,false,177.22,229,0,null,6964.68,"3537",false,0
"a3f2ae","N35325  ","United States",1614114964,1614114964,-112.1033,33.7013,670.56,false,44.24,351.3,4.55,null,670.56,"1200",false,0
"398249","ASJ787  ","France",1614114964,1614114964,5.1583,50.4454,8534.4,false,178.31,219.62,-0.33,null,8831.58,"1000",false,0
"a90ea8","DAL2074 ","United States",1614114964,1614114964,-89.7643,39.4132,10972.8,false,208.17,326.39,0,null,11064.24,"2622",false,0
"aa56d4","UAL2489 ","United States",1614114964,1614114964,-74.6178,40.6163,1767.84,false,129.14,11.49,-5.53,null,1615.44,"4074",false,0
"a981c9","N711WS  ","United States",1614114964,1614114964,-116.4249,33.6132,7620,false,230.62,92.05,0.33,null,7802.88,"3214",false,0
"4d0105","CLX7602 ","Luxembourg",1614114964,1614114964,-47.1078,-23.1198,1607.82,false,131.69,220.72,9.1,null,1676.4,null,false,0
"aaab8c","N787LL  ","United States",1614114792,1614114792,-88.3986,42.1756,579.12,false,49.02,208.18,-2.28,null,510.54,"1200",false,0
"4d0103","CLX7972 ","Luxembourg",1614114964,1614114964,102.6136,1.9652,5791.2,false,230.88,124.47,0,null,6103.62,"2104",false,0
"04018f","ETH501  ","Ethiopia",1614114964,1614114964,-2.652,43.0149,12184.38,false,271.62,113.55,0,null,12588.24,null,false,0
"4d0107","CLX5827 ","Luxembourg",1614114965,1614114965,50.5417,27.4547,10668,false,267.55,145.58,-0.33,null,11132.82,null,false,0
"ac9b7d","N911MH  ","United States",1614114935,1614114935,-82.5115,34.782,975.36,false,74.27,74.33,1.63,null,929.64,null,false,0
"a48874","N391W   ","United States",1614114965,1614114965,-76.4556,40.4609,12192,false,197.64,268.21,0,null,12039.6,"2637",false,0
"ab827d","N8402F  ","United States",1614114963,1614114965,-91.0001,42.4271,2324.1,false,104.65,96.78,0,null,2232.66,null,false,0
"7c6b1c","JST929  ","Australia",1614114847,1614114847,150.3687,-23.9996,11285.22,false,250.28,145.72,0,null,11879.58,null,false,0
"a798c6","","United States",1614114900,1614114900,-96.8554,32.8577,null,true,4.12,300.94,null,null,null,null,false,0
"a861b4","N6391P  ","United States",1614114964,1614114964,-90.0157,38.649,792.48,false,70.22,44.11,2.28,null,731.52,null,false,0
"aa759b","EJA773  ","United States",1614114964,1614114964,-85.6803,38.1578,6858,false,212.62,18.48,-10.4,null,6918.96,null,false,0
"aaef60","AAL248  ","United States",1614114964,1614114964,-96.6913,32.805,3672.84,false,196.76,73.13,13,null,3749.04,"6215",false,0
"aa9f3f","SWA512  ","United States",1614114965,1614114965,-90.6725,39.1078,12496.8,false,272.39,76.57,0,null,12611.1,"1655",false,0
"a92145","DAL1982 ","United States",1614114964,1614114965,-66.3739,19.2614,9113.52,false,235.06,311.54,5.53,null,9601.2,null,false,0
"ad1258","N941RB  ","United States",1614114957,1614114960,-118.5592,34.6499,2560.32,false,47.4,332.88,0.98,null,2651.76,"6720",false,0
"c1e99b","ST30    ","Canada",1614114917,1614114917,-114.0126,51.1308,null,true,2.06,205.31,null,null,null,null,false,0
"7c6b38","JST287  ","Australia",1614114963,1614114964,174.6519,-41.3748,2948.94,false,195.62,213.52,4.88,null,3086.1,"5725",false,0
